N, T, W, D, Speedup
2, 32768, 2000, 32, 0.94526
3, 32768, 2000, 32, 1.68174
5, 32768, 2000, 32, 3.28932
9, 32768, 2000, 32, 5.78865
14, 32768, 2000, 32, 6.05371
28, 32768, 2000, 32, 4.24601
