N, T, W, D, Speedup
2, 32768, 1000, 32, 0.90778
3, 32768, 1000, 32, 1.56258
5, 32768, 1000, 32, 2.91782
9, 32768, 1000, 32, 3.32832
14, 32768, 1000, 32, 3.61654
28, 32768, 1000, 32, 2.15268
