N, T, W, D, Speedup
2, 32768, 8000, 32, 0.96973
3, 32768, 8000, 32, 1.8399
5, 32768, 8000, 32, 3.40829
9, 32768, 8000, 32, 6.72128
14, 32768, 8000, 32, 10.9407
28, 32768, 8000, 32, 7.98416
