N, T, W, D, Speedup
2, 32768, 4000, 32, 0.97113
3, 32768, 4000, 32, 1.47342
5, 32768, 4000, 32, 2.4185
9, 32768, 4000, 32, 4.04334
14, 32768, 4000, 32, 5.86278
28, 32768, 4000, 32, 3.94462
