N, T, W, D, Speedup
2, 32768, 2000, 32, 0.95057
3, 32768, 2000, 32, 1.70357
5, 32768, 2000, 32, 3.22609
9, 32768, 2000, 32, 5.26551
14, 32768, 2000, 32, 6.29368
28, 32768, 2000, 32, 4.16547
