N, T, W, D, Speedup
2, 32768, 4000, 32, 0.97172
3, 32768, 4000, 32, 1.72809
5, 32768, 4000, 32, 3.41224
9, 32768, 4000, 32, 6.59693
14, 32768, 4000, 32, 10.18236
28, 32768, 4000, 32, 6.58763
