N, T, W, D, Speedup
2, 32768, 8000, 32, 0.97911
3, 32768, 8000, 32, 1.78424
5, 32768, 8000, 32, 3.42038
9, 32768, 8000, 32, 6.73708
14, 32768, 8000, 32, 11.08207
28, 32768, 8000, 32, 8.75872
