N, T, W, D, Speedup
2, 32768, 4000, 32, 0.96998
3, 32768, 4000, 32, 1.75566
5, 32768, 4000, 32, 3.331
9, 32768, 4000, 32, 6.40361
14, 32768, 4000, 32, 10.22616
28, 32768, 4000, 32, 7.38675
