N, T, W, D, ratio
2, 1048576, 1, 32, 1888.594
3, 524288, 1, 32, 1868.3
5, 262144, 1, 32, 1678.853
9, 131072, 1, 32, 1474.042
14, 80659, 1, 32, 1544.074
28, 38836, 1, 32, 1099.608
