N, T, W, D, Speedup
2, 32768, 2000, 32, 0.95478
3, 32768, 2000, 32, 1.3532
5, 32768, 2000, 32, 2.23241
9, 32768, 2000, 32, 3.58773
14, 32768, 2000, 32, 5.06386
28, 32768, 2000, 32, 2.81609
