N, T, W, D, Speedup
2, 32768, 1000, 32, 0.91463
3, 32768, 1000, 32, 1.60571
5, 32768, 1000, 32, 2.90961
9, 32768, 1000, 32, 2.91893
14, 32768, 1000, 32, 2.8227
28, 32768, 1000, 32, 2.64857
