N, T, W, D, Speedup
2, 32768, 8000, 32, 0.97962
3, 32768, 8000, 32, 1.49981
5, 32768, 8000, 32, 2.3003
9, 32768, 8000, 32, 4.11552
14, 32768, 8000, 32, 6.11408
28, 32768, 8000, 32, 3.86902
