B,n,lock,Serial Throughput,Speedup
10000,1,a,333333.3,10.30000 
10000,2,a,333333.3,89.36665 
10000,4,a,333333.3,91.13331 
10000,8,a,333333.3,78.43332 
10000,14,a,333333.3,30.40000 
