B,n,lock,Serial Throughput,Speedup
10000,1,t,333333.3,12.76667 
10000,2,t,333333.3,95.46666 
10000,4,t,333333.3,117.30000 
10000,8,t,333333.3,90.59999 
10000,14,t,333333.3,208.43336 
