B,n,lock,Serial Throughput,Speedup
10000,1,p,333333.3,10.60000 
10000,2,p,333333.3,82.69999 
10000,4,p,333333.3,66.46666 
10000,8,p,333333.3,79.09999 
10000,14,p,333333.3,91.79999 
