Number of vertices, Number of threads, Run-time, Serial Time
128,16,18.490999,6.932000
128,2,9.222000,6.932000
128,32,30.752001,6.932000
128,4,8.356000,6.932000
128,64,49.661999,6.932000
128,8,11.578000,6.932000
