Number of vertices, Number of threads, Run-time, Serial Time
16,16,2.781000,0.023000
16,2,0.527000,0.023000
16,32,5.166000,0.023000
16,4,0.765000,0.023000
16,64,10.396000,0.023000
16,8,1.199000,0.023000
