Number of vertices, Number of threads, Run-time, Serial Time
1024,16,1918.838013,1662.645996
1024,2,1524.525024,1662.645996
1024,32,2692.251953,1662.645996
1024,4,1562.635986,1662.645996
1024,64,3999.654053,1662.645996
1024,8,1752.913940,1662.645996
